step,train_loss,tok_s
50,52.308365,3481.64
100,35.579605,4515.15
150,28.734669,4367.13
200,21.819691,4032.82
250,18.934204,2639.40
300,15.839025,4050.84
350,15.310432,4059.18
400,14.344179,3856.60
450,12.910498,2618.18
500,12.363678,4688.46
550,11.679013,3958.43
600,11.514513,3006.48
650,10.760973,2825.85
700,10.444166,4236.54
750,10.198100,4000.06
800,10.342898,3983.98
850,9.819363,2814.88
900,9.580728,4356.74
950,9.785148,4078.41
1000,9.658225,4078.53
1050,9.455466,2535.17
1100,9.489579,3413.93
1150,9.162858,3550.92
1200,9.112597,3498.92
1250,9.125604,2513.60
1300,9.111083,4091.32
1350,8.929889,4071.86
1400,9.036780,4140.76
1450,8.947282,2687.45
1500,9.221997,4839.51
1550,8.926688,4731.69
1600,8.801888,4542.15
1650,8.997262,2477.63
1700,8.752619,4198.08
1750,9.217478,4667.13
1800,8.755545,3348.83
1850,8.818207,2993.65
1900,8.950819,3509.41
1950,8.823767,4746.63
2000,8.970155,4059.45
