label,profile,ok,backend,method,seq_len,batch_size,precision,gpu_flops_total,gpu_flops_total_ratio_ncu,computed_gpu_flops_total_ratio,ncu_permission_ok,error
dense_aah_full_adaptive_window_exec,dense_aah_full_adaptive_window_exec_gpu_flops_profile.json,True,,,4096,1,bf16,285093795549.0,1.6016222807019223,1.6016222807019223,True,
dense_standard_mha_baseline,dense_standard_mha_baseline_gpu_flops_profile.json,True,,,4096,1,bf16,178003140306.0,1.0,1.0,True,
flashattention_deep_practical_reuse,flashattention_deep_practical_reuse_gpu_flops_profile.json,True,,,4096,1,bf16,286868593890.0,1.607841646879165,1.607841646879165,True,
flashattention_fixed_1024_aah,flashattention_fixed_1024_aah_gpu_flops_profile.json,True,,,4096,1,bf16,284734635245.0,1.5958812313606072,1.5958812313606072,True,
flashattention_full_adaptive,flashattention_full_adaptive_gpu_flops_profile.json,True,,,4096,1,bf16,284931425607.0,1.5969842023601073,1.5969842023601073,True,
flashattention_grouping_off,flashattention_grouping_off_gpu_flops_profile.json,True,,,4096,1,bf16,284336102948.0,1.5936475367757315,1.5936475367757315,True,
flashattention_pure,flashattention_pure_gpu_flops_profile.json,True,,,4096,1,bf16,178418437193.0,1.0,1.0,True,
flashattention_shallow_freeze,flashattention_shallow_freeze_gpu_flops_profile.json,True,,,4096,1,bf16,286521792177.0,1.6058978919710059,1.6058978919710059,True,
flexattention_grouping_off,flexattention_grouping_off_gpu_flops_profile.json,True,,,4096,1,bf16,254069235543.0,1.0585880814153703,1.0585880814153703,True,
flexattention_pure,flexattention_pure_gpu_flops_profile.json,True,,,4096,1,bf16,240007647926.0,1.0,1.0,True,
flexattention_shallow_freeze,flexattention_shallow_freeze_gpu_flops_profile.json,True,,,4096,1,bf16,256973992645.0,1.0706908503358656,1.0706908503358656,True,
