backend,method,val_loss,ACR,EAR,tok_s,memory_gpu_alloc_max_mb,gpu_flops_total,gpu_flops_total_ratio_ncu,computed_gpu_flops_total_ratio,gpu_flops_attention_ratio_ncu,ncu_permission_ok,ncu_error_kind,ncu_metrics_used,profile_json
FlexAttention,pure,6.481104,,,,,240007647926.0,1.0,1.0,,True,,sm__sass_thread_inst_executed_op_dfma_pred_on.sum;sm__sass_thread_inst_executed_op_ffma_pred_on.sum;sm__sass_thread_inst_executed_op_hfma_pred_on.sum;sm__sass_thread_inst_executed_ops_dadd_dmul_dfma_pred_on.sum;sm__sass_thread_inst_executed_ops_fadd_fmul_ffma_pred_on.sum;sm__sass_thread_inst_executed_ops_hadd_hmul_hfma_pred_on.sum,paper_results/backend_4096_realized_attention_ncu/gpu_flops_profiles/flexattention_pure_gpu_flops_profile.json
FlexAttention,grouping_off,,,,,,254069235543.0,1.0585880814153703,1.0585880814153703,,True,,sm__sass_thread_inst_executed_op_dfma_pred_on.sum;sm__sass_thread_inst_executed_op_ffma_pred_on.sum;sm__sass_thread_inst_executed_op_hfma_pred_on.sum;sm__sass_thread_inst_executed_ops_dadd_dmul_dfma_pred_on.sum;sm__sass_thread_inst_executed_ops_fadd_fmul_ffma_pred_on.sum;sm__sass_thread_inst_executed_ops_hadd_hmul_hfma_pred_on.sum,paper_results/backend_4096_realized_attention_ncu/gpu_flops_profiles/flexattention_grouping_off_gpu_flops_profile.json
FlexAttention,full_adaptive,,,,,,,,,,,,,paper_results/backend_4096_realized_attention_ncu/gpu_flops_profiles/flexattention_full_adaptive_gpu_flops_profile.json
FlexAttention,shallow_freeze,,,,,,256973992645.0,1.0706908503358656,1.0706908503358656,,True,,sm__sass_thread_inst_executed_op_dfma_pred_on.sum;sm__sass_thread_inst_executed_op_ffma_pred_on.sum;sm__sass_thread_inst_executed_op_hfma_pred_on.sum;sm__sass_thread_inst_executed_ops_dadd_dmul_dfma_pred_on.sum;sm__sass_thread_inst_executed_ops_fadd_fmul_ffma_pred_on.sum;sm__sass_thread_inst_executed_ops_hadd_hmul_hfma_pred_on.sum,paper_results/backend_4096_realized_attention_ncu/gpu_flops_profiles/flexattention_shallow_freeze_gpu_flops_profile.json
FlexAttention,deep_practical_reuse,,,,,,,,,,,,,paper_results/backend_4096_realized_attention_ncu/gpu_flops_profiles/flexattention_deep_practical_reuse_gpu_flops_profile.json
FlashAttention,pure,6.464322,,,,,178418437193.0,1.0,1.0,,True,,sm__sass_thread_inst_executed_op_dfma_pred_on.sum;sm__sass_thread_inst_executed_op_ffma_pred_on.sum;sm__sass_thread_inst_executed_op_hfma_pred_on.sum;sm__sass_thread_inst_executed_ops_dadd_dmul_dfma_pred_on.sum;sm__sass_thread_inst_executed_ops_fadd_fmul_ffma_pred_on.sum;sm__sass_thread_inst_executed_ops_hadd_hmul_hfma_pred_on.sum,paper_results/backend_4096_realized_attention_ncu/gpu_flops_profiles/flashattention_pure_gpu_flops_profile.json
FlashAttention,grouping_off,,,,,,284336102948.0,1.5936475367757315,1.5936475367757315,,True,,sm__sass_thread_inst_executed_op_dfma_pred_on.sum;sm__sass_thread_inst_executed_op_ffma_pred_on.sum;sm__sass_thread_inst_executed_op_hfma_pred_on.sum;sm__sass_thread_inst_executed_ops_dadd_dmul_dfma_pred_on.sum;sm__sass_thread_inst_executed_ops_fadd_fmul_ffma_pred_on.sum;sm__sass_thread_inst_executed_ops_hadd_hmul_hfma_pred_on.sum,paper_results/backend_4096_realized_attention_ncu/gpu_flops_profiles/flashattention_grouping_off_gpu_flops_profile.json
FlashAttention,full_adaptive,,,,,,284931425607.0,1.5969842023601073,1.5969842023601073,,True,,sm__sass_thread_inst_executed_op_dfma_pred_on.sum;sm__sass_thread_inst_executed_op_ffma_pred_on.sum;sm__sass_thread_inst_executed_op_hfma_pred_on.sum;sm__sass_thread_inst_executed_ops_dadd_dmul_dfma_pred_on.sum;sm__sass_thread_inst_executed_ops_fadd_fmul_ffma_pred_on.sum;sm__sass_thread_inst_executed_ops_hadd_hmul_hfma_pred_on.sum,paper_results/backend_4096_realized_attention_ncu/gpu_flops_profiles/flashattention_full_adaptive_gpu_flops_profile.json
FlashAttention,shallow_freeze,,,,,,286521792177.0,1.6058978919710059,1.6058978919710059,,True,,sm__sass_thread_inst_executed_op_dfma_pred_on.sum;sm__sass_thread_inst_executed_op_ffma_pred_on.sum;sm__sass_thread_inst_executed_op_hfma_pred_on.sum;sm__sass_thread_inst_executed_ops_dadd_dmul_dfma_pred_on.sum;sm__sass_thread_inst_executed_ops_fadd_fmul_ffma_pred_on.sum;sm__sass_thread_inst_executed_ops_hadd_hmul_hfma_pred_on.sum,paper_results/backend_4096_realized_attention_ncu/gpu_flops_profiles/flashattention_shallow_freeze_gpu_flops_profile.json
FlashAttention,deep_practical_reuse,,,,,,286868593890.0,1.607841646879165,1.607841646879165,,True,,sm__sass_thread_inst_executed_op_dfma_pred_on.sum;sm__sass_thread_inst_executed_op_ffma_pred_on.sum;sm__sass_thread_inst_executed_op_hfma_pred_on.sum;sm__sass_thread_inst_executed_ops_dadd_dmul_dfma_pred_on.sum;sm__sass_thread_inst_executed_ops_fadd_fmul_ffma_pred_on.sum;sm__sass_thread_inst_executed_ops_hadd_hmul_hfma_pred_on.sum,paper_results/backend_4096_realized_attention_ncu/gpu_flops_profiles/flashattention_deep_practical_reuse_gpu_flops_profile.json
